Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7
Influenza,runny nose,chills,fatigue,cough,sore throat,,
Chicken Pox,fatigue,rash,itchiness,headache,loss of appetite,blisters,
Hypertension,fatigue,dizziness,headache,chest pain,,,
Chicken Pox,rash,loss of appetite,fever,itchiness,,,
Arthritis,joint pain,reduced range of motion,fatigue,,,,
Gastroenteritis,vomiting,stomach cramps,fatigue,diarrhea,nausea,,
Arthritis,swelling,reduced range of motion,warmth in joints,joint pain,,,
Pneumonia,fatigue,rapid breathing,shortness of breath,chest pain,cough,,
Urinary Tract Infection,fever,burning urination,frequent urination,chills,cloudy urine,,
Typhoid,stomach pain,weakness,loss of appetite,,,,
Common Cold,fatigue,congestion,mild fever,sneezing,cough,sore throat,runny nose
Typhoid,weakness,diarrhea,constipation,stomach pain,headache,rash,
Malaria,sweating,fatigue,headache,fever,nausea,muscle pain,
Urinary Tract Infection,chills,burning urination,cloudy urine,fever,pelvic pain,,
Appendicitis,vomiting,nausea,loss of appetite,,,,
Appendicitis,fever,bloating,loss of appetite,vomiting,nausea,,
COVID-19,fever,loss of taste,loss of smell,,,,
Migraine,blurred vision,sensitivity to light,fatigue,vomiting,,,
Influenza,sore throat,runny nose,chills,cough,,,
Appendicitis,fever,severe abdominal pain,bloating,,,,
Asthma,fatigue,shortness of breath,chest tightness,wheezing,coughing,,
Arthritis,warmth in joints,reduced range of motion,fatigue,stiffness,,,
COVID-19,loss of smell,headache,shortness of breath,,,,
Urinary Tract Infection,frequent urination,fever,pelvic pain,,,,
Asthma,shortness of breath,coughing,fatigue,wheezing,chest tightness,,
Arthritis,joint pain,reduced range of motion,swelling,fatigue,warmth in joints,stiffness,
Hypertension,blurred vision,chest pain,dizziness,nosebleed,,,
Dengue Fever,joint pain,high fever,nausea,muscle pain,vomiting,fatigue,rash
Influenza,headache,fever,cough,sore throat,body aches,fatigue,runny nose
Tuberculosis,night sweats,coughing up blood,weight loss,fatigue,fever,,
Appendicitis,fever,nausea,severe abdominal pain,vomiting,,,
Hypertension,shortness of breath,blurred vision,fatigue,,,,
Pneumonia,chills,shortness of breath,fever,cough,rapid breathing,,
Hypertension,chest pain,dizziness,fatigue,headache,,,
Influenza,runny nose,chills,fever,headache,,,
Asthma,shortness of breath,fatigue,coughing,,,,
COVID-19,fever,body aches,cough,shortness of breath,loss of taste,headache,
Influenza,fever,chills,fatigue,,,,
Migraine,sensitivity to sound,blurred vision,severe headache,vomiting,fatigue,sensitivity to light,
Migraine,fatigue,vomiting,sensitivity to sound,sensitivity to light,nausea,blurred vision,severe headache
Common Cold,cough,sneezing,sore throat,congestion,,,
Tuberculosis,fatigue,coughing up blood,weight loss,,,,
Asthma,shortness of breath,wheezing,coughing,chest tightness,fatigue,,
Asthma,shortness of breath,chest tightness,wheezing,,,,
Migraine,vomiting,sensitivity to sound,sensitivity to light,blurred vision,severe headache,nausea,fatigue
Dengue Fever,fatigue,rash,nausea,muscle pain,,,
Tuberculosis,fever,weight loss,chest pain,,,,
Typhoid,stomach pain,constipation,diarrhea,loss of appetite,weakness,high fever,rash
Influenza,fever,cough,headache,runny nose,,,
Influenza,headache,runny nose,cough,,,,
Typhoid,high fever,headache,constipation,,,,
Tuberculosis,fever,persistent cough,chest pain,weight loss,,,
Tuberculosis,chest pain,night sweats,fever,persistent cough,,,
Urinary Tract Infection,frequent urination,fever,pelvic pain,,,,
COVID-19,loss of smell,fatigue,shortness of breath,headache,cough,fever,
Hypertension,headache,dizziness,fatigue,chest pain,,,
Gastroenteritis,stomach cramps,vomiting,fever,fatigue,nausea,loss of appetite,
Hepatitis B,abdominal pain,vomiting,jaundice,dark urine,fatigue,,
Measles,rash,sensitivity to light,fever,runny nose,red eyes,cough,fatigue
Hypertension,blurred vision,fatigue,shortness of breath,,,,
Hepatitis B,vomiting,fatigue,nausea,,,,
Influenza,cough,fatigue,sore throat,,,,
Typhoid,constipation,stomach pain,loss of appetite,diarrhea,,,
Urinary Tract Infection,cloudy urine,pelvic pain,chills,,,,
Asthma,chest tightness,fatigue,shortness of breath,coughing,,,
Diabetes,frequent urination,slow healing wounds,excessive thirst,numbness in feet,fatigue,blurred vision,
Appendicitis,bloating,loss of appetite,severe abdominal pain,nausea,,,
Arthritis,warmth in joints,joint pain,fatigue,stiffness,reduced range of motion,,
Migraine,fatigue,blurred vision,nausea,severe headache,,,
Gastroenteritis,fever,nausea,loss of appetite,fatigue,,,
Urinary Tract Infection,burning urination,fever,pelvic pain,,,,
Anemia,weakness,fatigue,shortness of breath,,,,
Appendicitis,vomiting,fever,loss of appetite,,,,
Urinary Tract Infection,chills,cloudy urine,burning urination,pelvic pain,,,
Anemia,fatigue,pale skin,shortness of breath,cold hands,chest pain,,
Hepatitis B,nausea,jaundice,abdominal pain,,,,
Pneumonia,rapid breathing,shortness of breath,fatigue,cough,,,
Hypertension,fatigue,nosebleed,blurred vision,shortness of breath,,,
Malaria,fatigue,headache,chills,vomiting,nausea,,
Asthma,wheezing,chest tightness,shortness of breath,,,,
Anemia,chest pain,weakness,shortness of breath,cold hands,fatigue,dizziness,pale skin
Tuberculosis,fatigue,night sweats,coughing up blood,persistent cough,,,
Asthma,shortness of breath,coughing,wheezing,chest tightness,fatigue,,
Common Cold,sneezing,congestion,fatigue,cough,mild fever,,
Hepatitis B,fatigue,abdominal pain,dark urine,vomiting,,,
Tuberculosis,fever,weight loss,coughing up blood,chest pain,,,
Common Cold,fatigue,mild fever,cough,congestion,sore throat,,
Dengue Fever,nausea,rash,vomiting,,,,
Urinary Tract Infection,burning urination,pelvic pain,chills,frequent urination,fever,cloudy urine,
Asthma,coughing,shortness of breath,fatigue,wheezing,chest tightness,,
Pneumonia,chills,rapid breathing,cough,shortness of breath,,,
Migraine,sensitivity to sound,fatigue,blurred vision,severe headache,sensitivity to light,,
Typhoid,headache,rash,loss of appetite,,,,
COVID-19,fatigue,loss of smell,body aches,cough,loss of taste,headache,
Appendicitis,severe abdominal pain,nausea,loss of appetite,vomiting,fever,,
Pneumonia,fatigue,fever,chills,cough,shortness of breath,chest pain,rapid breathing
Tuberculosis,chest pain,night sweats,coughing up blood,fever,persistent cough,weight loss,fatigue
Urinary Tract Infection,frequent urination,pelvic pain,cloudy urine,chills,burning urination,fever,
Typhoid,high fever,stomach pain,rash,diarrhea,,,
Hepatitis B,nausea,abdominal pain,fatigue,,,,
Arthritis,reduced range of motion,fatigue,warmth in joints,stiffness,,,
Arthritis,swelling,joint pain,stiffness,fatigue,warmth in joints,reduced range of motion,
Asthma,coughing,chest tightness,fatigue,shortness of breath,wheezing,,
Malaria,muscle pain,fever,chills,sweating,vomiting,fatigue,
Measles,cough,red eyes,fatigue,fever,,,
Measles,rash,sensitivity to light,fatigue,cough,runny nose,red eyes,fever
Dengue Fever,high fever,fatigue,joint pain,,,,
Arthritis,fatigue,warmth in joints,joint pain,stiffness,swelling,,
Dengue Fever,fatigue,rash,severe headache,vomiting,joint pain,,
Dengue Fever,nausea,vomiting,muscle pain,severe headache,rash,joint pain,high fever
Chicken Pox,loss of appetite,rash,fever,blisters,headache,fatigue,
Asthma,fatigue,wheezing,shortness of breath,coughing,chest tightness,,
Chicken Pox,fatigue,rash,blisters,headache,fever,itchiness,loss of appetite
Anemia,weakness,dizziness,fatigue,shortness of breath,,,
Malaria,chills,sweating,nausea,muscle pain,,,
Asthma,chest tightness,coughing,wheezing,shortness of breath,,,
Pneumonia,fever,cough,rapid breathing,chills,,,
Malaria,muscle pain,vomiting,fever,nausea,,,
Chicken Pox,headache,rash,blisters,itchiness,,,
Chicken Pox,loss of appetite,fever,headache,blisters,rash,,
Anemia,dizziness,cold hands,chest pain,weakness,pale skin,,
Asthma,chest tightness,fatigue,wheezing,,,,
Urinary Tract Infection,burning urination,cloudy urine,frequent urination,fever,pelvic pain,chills,
Chicken Pox,fever,fatigue,loss of appetite,rash,blisters,,
COVID-19,fever,cough,fatigue,headache,body aches,,
Appendicitis,bloating,loss of appetite,severe abdominal pain,,,,
Diabetes,numbness in feet,slow healing wounds,fatigue,frequent urination,excessive thirst,blurred vision,
Migraine,blurred vision,severe headache,vomiting,sensitivity to sound,nausea,sensitivity to light,fatigue
Pneumonia,fatigue,rapid breathing,fever,chest pain,chills,shortness of breath,cough
Hypertension,nosebleed,headache,blurred vision,dizziness,,,
Hypertension,shortness of breath,blurred vision,fatigue,headache,dizziness,,
Typhoid,high fever,weakness,stomach pain,,,,
Hepatitis B,dark urine,jaundice,vomiting,nausea,,,
Hepatitis B,abdominal pain,joint pain,nausea,fatigue,dark urine,vomiting,jaundice
Measles,fever,rash,runny nose,cough,red eyes,,
Dengue Fever,muscle pain,severe headache,fatigue,nausea,joint pain,high fever,
Tuberculosis,coughing up blood,night sweats,persistent cough,fever,chest pain,weight loss,fatigue
Hepatitis B,abdominal pain,fatigue,vomiting,,,,
Migraine,severe headache,blurred vision,sensitivity to light,sensitivity to sound,vomiting,,
Anemia,pale skin,weakness,chest pain,shortness of breath,cold hands,dizziness,fatigue
Anemia,shortness of breath,weakness,cold hands,pale skin,chest pain,,
Asthma,wheezing,coughing,shortness of breath,,,,
Urinary Tract Infection,cloudy urine,fever,pelvic pain,chills,burning urination,,
Malaria,chills,headache,nausea,fatigue,fever,,
Pneumonia,shortness of breath,rapid breathing,cough,chest pain,chills,,
Measles,sensitivity to light,fever,cough,rash,runny nose,,
Arthritis,reduced range of motion,joint pain,stiffness,,,,
Dengue Fever,high fever,nausea,rash,vomiting,muscle pain,severe headache,
Anemia,chest pain,pale skin,weakness,dizziness,,,
Measles,runny nose,fever,red eyes,sensitivity to light,cough,,
Dengue Fever,severe headache,muscle pain,rash,high fever,nausea,,
Arthritis,fatigue,stiffness,joint pain,reduced range of motion,warmth in joints,swelling,
Pneumonia,cough,fever,fatigue,chest pain,chills,rapid breathing,shortness of breath
Migraine,sensitivity to light,blurred vision,sensitivity to sound,fatigue,vomiting,nausea,severe headache
Tuberculosis,fever,persistent cough,coughing up blood,weight loss,,,
Typhoid,headache,diarrhea,loss of appetite,constipation,stomach pain,high fever,
Urinary Tract Infection,fever,frequent urination,pelvic pain,chills,burning urination,cloudy urine,
Migraine,sensitivity to sound,severe headache,vomiting,fatigue,,,
Diabetes,blurred vision,weight loss,excessive thirst,slow healing wounds,,,
Asthma,fatigue,wheezing,chest tightness,coughing,,,
Urinary Tract Infection,chills,burning urination,pelvic pain,frequent urination,,,
Typhoid,high fever,weakness,loss of appetite,constipation,diarrhea,rash,
Migraine,severe headache,fatigue,sensitivity to light,sensitivity to sound,nausea,vomiting,
Diabetes,numbness in feet,blurred vision,weight loss,,,,
COVID-19,loss of smell,loss of taste,body aches,cough,shortness of breath,,
Malaria,sweating,vomiting,headache,,,,
Malaria,headache,fever,chills,fatigue,,,
Gastroenteritis,nausea,loss of appetite,stomach cramps,fatigue,vomiting,diarrhea,
Common Cold,sneezing,runny nose,cough,fatigue,sore throat,,
Common Cold,runny nose,cough,fatigue,sneezing,sore throat,,
Anemia,shortness of breath,weakness,dizziness,cold hands,chest pain,fatigue,pale skin
Tuberculosis,night sweats,coughing up blood,weight loss,fever,,,
Hypertension,fatigue,shortness of breath,blurred vision,chest pain,nosebleed,headache,
Common Cold,fatigue,cough,congestion,runny nose,sore throat,,
Typhoid,constipation,stomach pain,headache,weakness,,,
Dengue Fever,high fever,rash,joint pain,nausea,,,
Arthritis,joint pain,stiffness,fatigue,swelling,warmth in joints,,
Anemia,dizziness,weakness,shortness of breath,fatigue,chest pain,pale skin,cold hands
Typhoid,diarrhea,rash,constipation,loss of appetite,stomach pain,headache,
Dengue Fever,high fever,vomiting,rash,muscle pain,,,
Gastroenteritis,fever,nausea,vomiting,,,,
Dengue Fever,rash,nausea,muscle pain,,,,
Dengue Fever,joint pain,fatigue,vomiting,muscle pain,,,
Migraine,fatigue,nausea,severe headache,sensitivity to light,,,
Influenza,fever,body aches,headache,chills,runny nose,sore throat,cough
Arthritis,swelling,reduced range of motion,joint pain,fatigue,warmth in joints,stiffness,
Anemia,cold hands,pale skin,fatigue,dizziness,,,
Pneumonia,fatigue,shortness of breath,rapid breathing,cough,fever,chills,
Tuberculosis,night sweats,chest pain,fatigue,weight loss,,,
Gastroenteritis,fever,stomach cramps,loss of appetite,diarrhea,,,
Anemia,weakness,cold hands,chest pain,shortness of breath,dizziness,fatigue,
Chicken Pox,blisters,fatigue,headache,rash,loss of appetite,itchiness,fever
Measles,rash,red eyes,fever,runny nose,fatigue,,
Diabetes,blurred vision,weight loss,excessive thirst,numbness in feet,fatigue,slow healing wounds,
Urinary Tract Infection,cloudy urine,frequent urination,burning urination,pelvic pain,fever,chills,
Measles,red eyes,rash,cough,fatigue,runny nose,fever,sensitivity to light
Hepatitis B,joint pain,fatigue,dark urine,,,,
Pneumonia,fatigue,fever,cough,chills,chest pain,,
Hypertension,nosebleed,chest pain,blurred vision,shortness of breath,dizziness,fatigue,headache
Hepatitis B,dark urine,abdominal pain,nausea,,,,
Pneumonia,fatigue,fever,chills,chest pain,rapid breathing,shortness of breath,
COVID-19,loss of taste,fever,cough,headache,loss of smell,,
Diabetes,blurred vision,numbness in feet,weight loss,slow healing wounds,,,
Pneumonia,chest pain,cough,rapid breathing,shortness of breath,fever,fatigue,chills
Hepatitis B,fatigue,nausea,joint pain,abdominal pain,jaundice,,
Hepatitis B,nausea,abdominal pain,vomiting,jaundice,,,
Tuberculosis,fever,coughing up blood,persistent cough,chest pain,night sweats,,
Migraine,sensitivity to sound,sensitivity to light,fatigue,,,,
Arthritis,reduced range of motion,fatigue,joint pain,warmth in joints,,,
Influenza,headache,fatigue,cough,fever,chills,,
Hypertension,blurred vision,shortness of breath,nosebleed,headache,,,
Migraine,blurred vision,nausea,sensitivity to light,,,,
Pneumonia,cough,fever,chills,rapid breathing,fatigue,chest pain,
Asthma,fatigue,chest tightness,coughing,,,,
Malaria,sweating,fever,vomiting,headache,muscle pain,chills,
Hepatitis B,jaundice,dark urine,abdominal pain,joint pain,nausea,vomiting,fatigue
Anemia,weakness,shortness of breath,fatigue,chest pain,pale skin,,
Common Cold,sneezing,sore throat,fatigue,,,,
Gastroenteritis,fever,diarrhea,stomach cramps,fatigue,vomiting,,
Appendicitis,severe abdominal pain,loss of appetite,vomiting,nausea,fever,,
Influenza,cough,fever,chills,runny nose,,,
Hypertension,headache,blurred vision,chest pain,shortness of breath,,,
Migraine,nausea,vomiting,fatigue,severe headache,blurred vision,sensitivity to light,sensitivity to sound
Dengue Fever,vomiting,rash,severe headache,high fever,muscle pain,,
Arthritis,stiffness,warmth in joints,swelling,,,,
Tuberculosis,persistent cough,fever,chest pain,,,,
Tuberculosis,fever,chest pain,night sweats,fatigue,,,
Hepatitis B,nausea,jaundice,fatigue,,,,
Measles,sensitivity to light,cough,red eyes,fatigue,rash,,
Common Cold,runny nose,mild fever,cough,sore throat,fatigue,,
Hepatitis B,fatigue,nausea,joint pain,dark urine,abdominal pain,vomiting,
Arthritis,warmth in joints,swelling,reduced range of motion,,,,
COVID-19,loss of smell,fever,shortness of breath,,,,
Chicken Pox,fever,blisters,itchiness,fatigue,loss of appetite,rash,headache
Typhoid,headache,weakness,constipation,stomach pain,high fever,loss of appetite,diarrhea
Malaria,sweating,muscle pain,vomiting,fever,,,
Measles,fever,fatigue,red eyes,cough,sensitivity to light,,
Appendicitis,nausea,vomiting,bloating,fever,loss of appetite,severe abdominal pain,
Pneumonia,rapid breathing,chest pain,fatigue,,,,
Migraine,fatigue,severe headache,sensitivity to light,vomiting,,,
Arthritis,joint pain,stiffness,reduced range of motion,fatigue,,,
Hepatitis B,joint pain,fatigue,abdominal pain,,,,
Common Cold,congestion,mild fever,runny nose,sneezing,cough,fatigue,sore throat
Dengue Fever,high fever,rash,joint pain,nausea,,,
Diabetes,excessive thirst,fatigue,blurred vision,frequent urination,weight loss,,
Migraine,vomiting,sensitivity to sound,severe headache,sensitivity to light,blurred vision,nausea,fatigue
Urinary Tract Infection,cloudy urine,fever,pelvic pain,chills,,,
Dengue Fever,joint pain,vomiting,rash,severe headache,fatigue,,
Arthritis,joint pain,reduced range of motion,warmth in joints,stiffness,swelling,fatigue,
COVID-19,headache,fatigue,body aches,fever,,,
